S. No,Building Type,Space type,Lighting Power density (W/sqft),Lighting Power density (W/sqm),Equipment Power Density (W/sqft),Equipment Power Density (W/sqm),Occupancy (Sqft/person),Occupancy (Sqm/person),Fresh air per person (CFM/person),Fresh air per area (CFM/sqft),Activity Area
1,Automotive,Service/Repair,0.67,,,,,,7.5,0.06,1
2,Bank/Office,BankingActivityArea,1.38,,,,,,7.5,0.06,2
3,Convention Center,Audience Seating,0.82,,,,,,5,0.06,3
4,Convention Center,Exhibit Space,1.45,,,,,,5,0.06,4
5,Courthouse/PoliceStation/Penitentiary,Courtroom,1.72,,,,,,5,0.06,5
6,Courthouse/PoliceStation/Penitentiary,ConfinementCells,1.1,,,,,,5,0.06,6
7,Courthouse/PoliceStation/Penitentiary,Judges’Chambers,1.17,,,,,,5,0.06,7
8,Courthouse/PoliceStation/Penitentiary,Penitentiary Audience Seating,0.43,,,,,,5,0.06,8
9,Courthouse/PoliceStation/Penitentiary,Penitentiary Classroom,1.34,,,,,,10,0.12,9
10,Courthouse/PoliceStation/Penitentiary,Penitentiary Dining,1.07,,,,,,7.5,0.18,10
11, Dormitory,Living Quarters,0.38,,,,,,5,0.06,11
12, Fire Stations, Engine Room,0.56,,,,,,,,12
13, Fire Stations, Sleeping Quarters,0.25,,,,,,5,0.06,13
14, Gymnasium/FitnessCenter, Fitness Area,0.72,,,,,,0,30,14
15, Gymnasium/FitnessCenter,Gymnasium Audience Seating,0.43,,,,,,5,0.06,15
16, Gymnasium/FitnessCenter,Playing Area,1.2,,,,,,0,30,16
17,Hospital, Corridor/Transition,0.89,,1,,200,,0,0.06,17
18,Hospital,Emergency,2.26,,1,,200,,,,18
19,Hospital,Exam/Treatment,1.66,,1,,200,,,,19
20,Hospital,Laundry/Washing,0.6,,1,,200,,5,0.12,20
21,Hospital,Lounge/Recreation,1.07,,1,,200,,,,21
22,Hospital,Medical Supply,1.27,,1,,200,,,,22
23,Hospital,Nursery,0.88,,1,,200,,,,23
24,Hospital,Nurses’Station,0.87,,1,,200,,,,24
25,Hospital,Operating Room,1.89,,1,,200,,,,25
26,Hospital,Patient Room,0.62,,1,,200,,,,26
27,Hospital,Pharmacy,1.14,,1,,200,,,,27
28,Hospital,Physical Therapy,0.91,,1,,200,,,,28
29,Hospital,Radiology/Imaging,1.32,,1,,200,,,,29
30,Hospital,Recovery,1.15,,1,,200,,,,30
31, Hotel/Highway Lodging,Hotel Dining,0.82,,0.25,,250,,7.5,0.18,31
32, Hotel/Highway Lodging,Hotel Guest Rooms,1.11,,0.25,,250,,5,0.06,32
33, Hotel/Highway Lodging,Hotel Lobby,1.06,,0.25,,250,,7.5,0.06,33
34, Hotel/Highway Lodging,Highway Lodging Dining,0.88,,0.25,,250,,7.5,0.18,34
35, Hotel/Highway Lodging,Highway Lodging Guest Rooms,0.75,,0.25,,250,,5,0.06,35
36, Library,Card File and Cataloging,0.72,,1,,200,,5,0.12,36
